time,total_energy,kinetic_energy,potential_energy,COM_vx,COM_vy,COM_vz
4.999999999999938,99426.97217820823,3617.6801838693264,95809.29199433891,0.0016969110126348668,0.0011731490485267365,0.003754847352700256
9.999999999999831,99723.16466417343,3756.825004545746,95966.33965962767,0.001761097242363861,0.009009106595100735,0.0038653139379527302
14.999999999999725,99698.17097604185,3702.6252489435224,95995.54572709832,-0.00048546120142083706,0.006689209454814244,5.588176725194936e-05
20.000000000000327,99562.14940882078,3683.9344350613524,95878.21497375943,-4.196195053341791e-05,0.0009168119542790381,-0.0022612072119413884
25.00000000000111,99767.4993760038,3719.93257397369,96047.56680203011,-0.0006522941329805347,0.0018574526107856388,0.005886660574623821
30.00000000000189,99576.3838441676,3735.66937601372,95840.71446815389,-0.002402837389997098,0.002623728230832354,-0.0015040561731009137
35.000000000001606,99746.75360229067,3711.246049602887,96035.50755268778,-0.007573505727935879,-0.0014318880505772669,0.0013478135315391152
40.00000000000061,99842.4006846542,3785.7879316828994,96056.6127529713,-0.00550809252915552,0.006401945206488667,-0.007409975600141043
44.999999999999616,99626.20823121852,3702.8957007328927,95923.31253048564,0.0008984447445705511,-0.004589517736951693,-0.0062145179275844495
49.99999999999862,99789.04106360224,3683.7081288016543,96105.3329348006,0.004560036906641302,0.011463126424599533,0.003294579137386591
54.99999999999763,99696.82977485894,3745.278307424989,95951.55146743395,-0.0016671655764699783,0.0010965477804410807,-0.003467732303584104
59.99999999999663,99548.65332100674,3723.880832371033,95824.7724886357,-0.0022250428745764603,-0.005726398151909262,-0.003154913086827119
64.99999999999635,99663.05543457912,3723.109462091857,95939.94597248726,0.00213378185109361,0.0006085811936215574,0.0006115726777725613
69.9999999999989,99639.84260317769,3702.7869865675934,95937.0556166101,-0.003593738087684026,-0.0041695455252214655,-0.004127763487949355
75.00000000000146,99371.90510164859,3667.619760130267,95704.28534151832,-0.0005659335313521932,-0.003235038096274032,-0.004244411204712353
80.00000000000402,99610.21690414067,3739.2179697161155,95870.99893442456,0.000901823647706873,0.005919077661980645,0.009654243004196093
85.00000000000658,99824.99889156358,3879.4152131910228,95945.58367837255,0.007235768414383699,-0.0007441476811442835,-0.010075379358586664
90.00000000000914,99790.97026173584,3757.1971888610465,96033.7730728748,0.002156221532851682,-0.0035556541568095524,0.00724835038662037
95.0000000000117,99528.25178908031,3725.705576748379,95802.54621233193,0.007214413097074306,0.005578748446106001,-0.0016517532194867967
100.00000000001425,99377.66292637076,3665.1161997056797,95712.54672666508,-0.0010447560182191775,-0.0063383719363043845,0.00023845877746406756
105.00000000001681,99654.93337075651,3678.7571976169593,95976.17617313955,-0.0024697058470404053,0.0006886642016178949,0.0007772882567758693
110.00000000001937,99701.02384497205,3665.565711458161,96035.4581335139,0.001136368157816675,0.003989433674176033,0.00882575752944497
115.00000000002193,99489.70516293785,3683.5058091374726,95806.19935380039,-0.0034811310173070206,0.0019019875119174192,-0.005518760829771172
120.00000000002449,99776.54556553165,3758.0204208956056,96018.52514463605,-0.0025375953546771246,0.003970490455017748,-0.006544046890617425
125.00000000002704,99476.48706198094,3625.808526357164,95850.67853562377,-0.0008913739004327566,0.0034574368448265385,-0.001101482949521201
130.00000000002674,99667.18478025266,3758.117581094116,95909.06719915854,0.003821686780981207,-0.004720712178372106,0.0012180311680194142
135.0000000000222,99779.07788857417,3742.768384762415,96036.30950381176,0.002597066225530703,-0.006019090290413263,0.004337439789600534
140.00000000001765,99641.9950508843,3714.783997187627,95927.21105369668,0.007634774202676293,-0.00577150469903224,-0.0013265854187295215
145.0000000000131,99537.14301182833,3718.08933555887,95819.05367626947,0.0033444061216399727,0.004245460254633582,0.0018565376753509465
150.00000000000855,99903.21506636399,3804.9760458925202,96098.23902047148,-0.0015007434705121903,0.0049099626437582805,-0.003637733275936861
155.000000000004,99578.76533517228,3766.8959226687602,95811.86941250353,-0.006741780734405932,0.0047457060740647315,0.007123733552270944
159.99999999999946,99343.95065651089,3689.921388648976,95654.02926786192,0.0017902212376659033,-0.0048971418258989775,-0.007325449924363554
164.9999999999949,99422.48717465403,3652.9258547408426,95769.56131991319,0.0017800519655649886,0.0033068435310517215,-0.0001593955561916383
169.99999999999037,99483.15197400139,3698.4428184729904,95784.7091555284,-0.00044055270424167526,-0.0004045924198481433,0.0057643723103516075
174.99999999998582,99626.49699559399,3679.8821318444398,95946.61486374955,0.009186667163374662,-0.004193119358826662,0.0016090585962506836
179.99999999998127,99560.10026483634,3705.580994722938,95854.5192701134,0.0021939555975096364,-0.00409387100427752,0.0037444099599861823
184.99999999997672,99438.84880251117,3728.4878352541064,95710.36096725706,-0.0037958986288997073,0.0007785792353628749,0.0006455821024976734
189.99999999997218,99537.85441115039,3656.0102304207853,95881.8441807296,0.002228573100180323,-0.0005607497232367778,-0.0010934389188749798
194.99999999996763,99507.06910985829,3752.373720900555,95754.69538895774,-0.0017306936991243573,0.008484744045967272,0.0016371439826302332
199.99999999996308,99507.63226360237,3665.6870129354493,95841.94525066692,0.004472843920854444,0.0028036241808820994,-0.005948611480349343
204.99999999995853,99382.92174611913,3644.7817921774968,95738.13995394163,0.0034253756459982757,-0.002136227839871902,5.8731821772876795e-05
209.99999999995399,99624.44319810755,3773.9671800019255,95850.47601810562,0.003754754365996007,0.0029110782561731856,-0.0014169786498592918
214.99999999994944,99442.35578400637,3754.086285622862,95688.26949838351,0.0006389063714679452,-0.005164013138350284,-2.2882136486500367e-05
219.9999999999449,99606.65259415789,3754.9929673561496,95851.65962680173,0.003891519828947275,-0.004571125349233851,0.001865441991293586
